Date;Open;High;Low;Close;Volume;
2007-10-22;1,091.76;1,091.76;1,085.74;1,085.74;10.91K;
2007-10-23;1,079.06;1,079.06;1,075.29;1,075.29;13.14K;
2007-10-24;1,079.60;1,096.20;1,079.60;1,096.20;12.78K;
2007-10-25;1,103.09;1,103.09;1,095.53;1,095.53;16.93K;
2007-10-26;1,095.28;1,095.28;1,092.48;1,092.48;12.47K;
2007-10-29;1,074.87;1,074.87;1,064.20;1,064.20;17.29K;
2007-10-30;1,068.31;1,071.15;1,068.31;1,069.78;12.16K;
2007-10-31;1,065.68;1,068.80;1,065.09;1,065.09;12.79K;
2007-11-01;1,074.46;1,075.92;1,074.46;1,075.92;14.46K;
2007-11-02;1,074.68;1,074.68;1,066.63;1,066.63;11.29K;
2007-11-05;1,045.31;1,047.65;1,045.31;1,047.15;14.74K;
2007-11-06;1,036.57;1,036.57;1,031.71;1,031.71;13.19K;
2007-11-07;1,026.05;1,031.20;1,026.05;1,031.20;14.92K;
2007-11-08;1,031.95;1,031.95;1,026.47;1,026.47;13.62K;
2007-11-09;1,012.43;1,018.29;1,011.09;1,018.29;12.99K;
2007-11-12;1,012.50;1,012.50;1,006.12;1,006.12;13.95K;
2007-11-13;999.38;999.38;973.59;973.59;13.57K;
2007-11-14;986.91;1,007.94;986.91;993.75;20.07K;
2007-11-15;1,007.06;1,007.06;1,001.28;1,002.71;14.43K;
2007-11-16;996.07;998.22;996.07;998.22;11.75K;
2007-11-19;996.48;998.75;996.41;998.75;8.50K;
2007-11-20;984.30;984.91;983.52;983.52;8.47K;
2007-11-21;963.56;971.79;963.56;971.49;10.56K;
2007-11-22;977.57;980.02;977.17;977.17;8.85K;
2007-11-23;979.11;979.11;974.44;975.92;8.98K;
2007-11-26;982.18;991.38;982.18;991.38;12.75K;
2007-11-27;998.72;998.72;988.08;988.08;10.24K;
2007-11-28;988.59;988.59;984.57;984.57;9.22K;
2007-11-29;984.86;984.86;980.09;980.09;8.96K;
2007-11-30;973.19;974.39;972.35;972.35;10.18K;
2007-12-03;977.86;987.96;977.86;987.96;9.96K;
2007-12-04;990.51;990.51;988.91;988.91;10.73K;
2007-12-05;981.95;981.95;976.21;976.21;8.37K;
2007-12-06;973.65;974.46;971.67;974.46;7.40K;
2007-12-07;970.15;976.19;970.15;974.63;8.97K;
2007-12-10;966.72;966.72;958.48;958.48;10.42K;
2007-12-11;948.91;948.91;941.04;941.04;8.63K;
2007-12-12;936.20;952.24;936.20;946.32;9.43K;
2007-12-13;941.76;941.76;930.36;930.36;6.85K;
2007-12-14;924.11;926.10;922.09;922.09;8.36K;
2007-12-17;918.61;918.61;911.15;911.15;7.97K;
2007-12-18;911.42;919.60;911.42;919.60;7.87K;
2007-12-19;932.59;946.78;932.59;946.78;10.30K;
2007-12-20;949.15;949.15;930.45;930.45;9.02K;
2007-12-21;930.37;935.07;930.37;935.07;8.38K;
2007-12-24;933.66;933.66;930.86;930.86;7.32K;
2007-12-25;925.11;925.11;918.43;918.43;7.54K;
2007-12-26;917.31;924.37;917.31;924.37;8.59K;
2007-12-27;923.08;923.08;921.75;921.75;7.98K;
2007-12-28;920.72;927.02;920.72;927.02;5.90K;
2008-01-02;925.66;926.01;921.07;921.07;6.47K;
2008-01-03;913.56;915.46;908.25;908.25;8.89K;
2008-01-04;904.83;905.38;903.09;903.09;8.13K;
2008-01-07;899.53;899.53;884.03;887.08;9.24K;
2008-01-08;892.68;899.22;892.68;893.74;9.69K;
2008-01-09;888.69;889.12;878.41;878.41;8.31K;
2008-01-10;858.07;858.56;849.69;850.07;12.59K;
2008-01-11;860.52;867.50;860.13;860.77;7.57K;
2008-01-14;859.29;859.29;841.00;841.00;10.68K;
2008-01-15;819.04;820.20;807.72;808.83;10.68K;
2008-01-16;836.43;846.07;835.20;846.07;14.17K;
2008-01-17;861.78;861.78;830.74;833.81;11.57K;
2008-01-18;831.08;847.05;828.22;847.05;7.37K;
2008-01-21;839.31;839.37;833.88;833.88;9.73K;
2008-01-22;808.46;813.01;807.74;807.74;12.75K;
2008-01-23;785.77;787.12;775.30;776.68;11.31K;
2008-01-24;785.92;790.52;764.13;764.13;12.85K;
2008-01-25;763.66;778.82;762.99;776.04;7.89K;
2008-01-28;781.92;785.07;775.90;785.07;7.59K;
2008-01-29;787.30;811.61;786.42;811.61;9.96K;
2008-01-30;844.95;848.88;843.10;843.10;13.93K;
2008-01-31;831.74;844.11;826.03;844.11;17.33K;
2008-02-01;854.15;859.62;852.32;859.62;15.36K;
2008-02-12;857.02;857.02;840.50;841.23;6.56K;
2008-02-13;830.54;830.77;817.86;817.86;8.11K;
2008-02-14;824.34;832.66;823.46;823.46;9.04K;
2008-02-15;821.00;821.03;813.89;816.03;5.84K;
2008-02-18;784.80;786.45;780.78;782.57;14.53K;
2008-02-19;764.42;780.91;764.17;776.79;14.49K;
2008-02-20;775.30;775.93;744.92;744.92;12.81K;
2008-02-21;711.78;712.27;710.17;710.45;20.13K;
2008-02-22;678.32;687.10;677.79;687.10;16.38K;
2008-02-25;706.00;715.25;706.00;715.04;23.91K;
2008-02-26;714.86;714.86;692.83;692.91;13.42K;
2008-02-27;681.45;704.67;681.35;686.49;11.10K;
2008-02-28;687.75;688.70;677.80;678.12;10.96K;
2008-02-29;670.49;672.15;661.75;663.30;12.89K;
2008-03-03;646.08;646.31;634.22;635.24;12.25K;
2008-03-04;608.05;608.88;606.10;608.88;21.83K;
2008-03-05;581.19;583.45;580.40;583.45;12.21K;
2008-03-06;609.77;611.26;609.77;611.17;28.05K;
2008-03-07;638.23;640.14;638.03;640.14;10.08K;
2008-03-10;667.63;669.24;657.53;658.29;27.31K;
2008-03-11;642.87;643.68;638.71;638.71;19.40K;
2008-03-12;632.08;654.47;632.08;643.90;16.31K;
2008-03-13;655.18;655.18;644.66;647.60;15.01K;
2008-03-14;640.04;643.92;640.04;643.80;12.42K;
2008-03-17;623.23;624.31;615.71;615.71;17.88K;
2008-03-18;588.63;589.57;588.17;588.26;9.69K;
2008-03-19;584.53;592.18;573.45;573.45;27.94K;
2008-03-20;568.32;576.41;564.82;564.82;15.18K;
2008-03-21;553.05;553.69;545.68;545.68;14.59K;
2008-03-24;524.72;525.24;521.07;521.07;10.08K;
2008-03-25;497.25;497.39;496.64;496.64;9.44K;
2008-03-26;495.02;504.78;494.40;504.67;20.17K;
2008-03-27;507.79;508.79;507.79;508.75;7.42K;
2008-03-28;512.19;512.74;512.19;512.70;3.70K;
2008-03-31;516.59;516.85;516.58;516.85;4.84K;
2008-04-01;520.53;520.99;520.53;520.99;2.90K;
2008-04-02;524.38;525.11;524.38;525.11;3.14K;
2008-04-03;528.46;529.23;528.46;529.23;9.64K;
