Date;Open;High;Low;Close;Volume
19/06/2013;21,033.0;21,035.5;21,018.0;21,035.0;
20/06/2013;21,033.0;21,035.5;21,003.0;21,035.0;
21/06/2013;21,035.5;21,035.5;21,018.0;21,035.0;
24/06/2013;21,035.5;21,035.5;21,018.0;21,035.0;
25/06/2013;21,031.5;21,035.5;21,018.0;21,035.0;
26/06/2013;21,033.0;21,035.5;21,003.0;21,035.0;
27/06/2013;21,028.0;21,035.5;21,003.0;21,000.0;
28/06/2013;21,230.0;21,236.0;21,033.0;21,170.0;
01/07/2013;21,177.5;21,210.0;21,165.0;21,130.0;
02/07/2013;21,187.5;21,210.0;21,172.5;21,160.0;
03/07/2013;21,222.5;21,233.0;21,190.0;21,190.0;
04/07/2013;21,230.5;21,238.0;21,205.0;21,220.0;
05/07/2013;21,235.5;21,243.0;21,205.0;21,230.0;
08/07/2013;21,238.0;21,243.0;21,205.0;21,170.0;
09/07/2013;21,238.0;21,243.0;21,205.0;21,240.0;
10/07/2013;21,240.5;21,243.0;21,205.0;21,240.0;
11/07/2013;21,243.0;21,243.0;21,223.0;21,220.0;
12/07/2013;21,235.5;21,243.0;21,213.0;21,200.0;
15/07/2013;21,228.0;21,238.0;21,222.5;21,210.0;
16/07/2013;21,223.0;21,233.0;21,210.0;21,205.0;
17/07/2013;21,228.0;21,238.0;21,217.5;21,230.0;
18/07/2013;21,238.0;21,243.0;21,217.5;21,240.0;
19/07/2013;21,223.0;21,238.0;21,223.0;21,200.0;
22/07/2013;21,223.0;21,238.0;21,223.0;21,200.0;
23/07/2013;21,228.0;21,238.0;21,223.0;21,200.0;
24/07/2013;21,228.0;21,238.0;21,223.0;21,200.0;
25/07/2013;21,223.0;21,238.0;21,223.0;21,205.0;
26/07/2013;21,215.0;21,223.0;21,210.0;21,180.0;
29/07/2013;21,217.5;21,223.0;21,205.0;21,200.0;
30/07/2013;21,185.0;21,223.0;21,165.0;21,130.0;
31/07/2013;21,165.0;21,223.0;21,160.0;21,140.0;
